ID	peaks-ENCFF128AKC.mapped.json	peaks-ENCFF663QIZ.mapped.json	strand	peak-union	counts-ENCFF128AKC.mapped.json	counts-ENCFF663QIZ.mapped.json	count-union	union-max-diff	aliases	object_type	display_name	biotype	description	seq_region_name	parent	is_canonical
ENSG00000054611	{'chr22:47006086-47006123', 'chr22:47006140-47006172', 'chr22:47160130-47160185', 'chr22:47005075-47005143', 'chr22:47004039-47004092'}		+	{'chr22:47006086-47006123', 'chr22:47006140-47006172', 'chr22:47160130-47160185', 'chr22:47005075-47005143', 'chr22:47004039-47004092'}	5	0	5	0	"[""C22orf4""]"	Gene	TBC1D22A	protein_coding	TBC1 domain family member 22A [Source:HGNC Symbol;Acc:HGNC:1309]	22		
ENSG00000157933	{'chr1:2229787-2229822', 'chr1:2230984-2231029', 'chr1:2251301-2251345', 'chr1:2229979-2230009', 'chr1:2231789-2231838'}		+	{'chr1:2229787-2229822', 'chr1:2230984-2231029', 'chr1:2251301-2251345', 'chr1:2229979-2230009', 'chr1:2231789-2231838'}	5	0	5	0	"[""""]"	Gene	SKI	protein_coding	SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]	1		
ENSG00000167522	{'chr16:89303402-89303453', 'chr16:89300774-89300823', 'chr16:89490063-89490097', 'chr16:89304674-89304715', 'chr16:89490330-89490383'}		-	{'chr16:89303402-89303453', 'chr16:89300774-89300823', 'chr16:89490063-89490097', 'chr16:89304674-89304715', 'chr16:89490330-89490383'}	5	0	5	0	"[""ANCO-1"",""T13"",""ANCO1"",""LZ16""]"	Gene	ANKRD11	protein_coding	ankyrin repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:21316]	16		
ENSG00000173442	{'chr11:65583156-65583202', 'chr11:65592387-65592429', 'chr11:65592281-65592367', 'chr11:65582081-65582116', 'chr11:65583486-65583552'}		+	{'chr11:65583156-65583202', 'chr11:65592387-65592429', 'chr11:65592281-65592367', 'chr11:65582081-65582116', 'chr11:65583486-65583552'}	5	0	5	0	"[""DKFZp762C186"",""TANGERIN""]"	Gene	EHBP1L1	protein_coding	EH domain binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:30682]	11		
ENSG00000178950	{'chr4:887378-887414', 'chr4:911201-911285', 'chr4:887533-887582', 'chr4:905391-905434', 'chr4:905434-905488'}		-	{'chr4:887378-887414', 'chr4:911201-911285', 'chr4:887533-887582', 'chr4:905391-905434', 'chr4:905434-905488'}	5	0	5	0	"[""DNAJC26""]"	Gene	GAK	protein_coding	cyclin G associated kinase [Source:HGNC Symbol;Acc:HGNC:4113]	4		
ENSG00000002822	{'chr7:1853531-1853563', 'chr7:1887163-1887205', 'chr7:1888499-1888516', 'chr7:1852321-1852368'}		-	{'chr7:1853531-1853563', 'chr7:1887163-1887205', 'chr7:1888499-1888516', 'chr7:1852321-1852368'}	4	0	4	0	"[""TP53I9"",""HsMAD1"",""PIG9"",""MAD1"",""TXBP181""]"	Gene	MAD1L1	protein_coding	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	7		
ENSG00000011304	{'chr19:803494-803563', 'chr19:802171-802285', 'chr19:797860-797919', 'chr19:798135-798180'}		+	{'chr19:803494-803563', 'chr19:802171-802285', 'chr19:797860-797919', 'chr19:798135-798180'}	4	0	4	0	"[""HNRPI"",""PTB-1"",""HNRNP-I"",""PTB"",""PTB2"",""PTB3"",""PTB4"",""pPTB""]"	Gene	PTBP1	protein_coding	polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]	19		
ENSG00000100284	{'chr22:35344000-35344092', 'chr22:35342253-35342270', 'chr22:35344238-35344338', 'chr22:35342437-35342559'}		+	{'chr22:35344000-35344092', 'chr22:35342253-35342270', 'chr22:35344238-35344338', 'chr22:35342437-35342559'}	4	0	4	0	"[""""]"	Gene	TOM1	protein_coding	target of myb1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11982]	22		
ENSG00000106070	{'chr7:50782768-50782816', 'chr7:50782816-50782851', 'chr7:50783209-50783242', 'chr7:50782344-50782377'}		-	{'chr7:50782768-50782816', 'chr7:50782816-50782851', 'chr7:50783209-50783242', 'chr7:50782344-50782377'}	4	0	4	0	"[""""]"	Gene	GRB10	protein_coding	growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]	7		
ENSG00000146678	{'chr7:45888945-45888990', 'chr7:45888842-45888888', 'chr7:45888692-45888752', 'chr7:45888762-45888823'}		+	{'chr7:45888945-45888990', 'chr7:45888842-45888888', 'chr7:45888692-45888752', 'chr7:45888762-45888823'}	4	0	4	0	"[""IBP1"",""AFBP"",""hIGFBP-1"",""PP12"",""IGF-BP25""]"	Gene	IGFBP1	protein_coding	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	7		
ENSG00000155506	{'chr5:154756067-154756100', 'chr5:154757117-154757177', 'chr5:154755632-154755666', 'chr5:154755349-154755381'}		+	{'chr5:154756067-154756100', 'chr5:154757117-154757177', 'chr5:154755632-154755666', 'chr5:154755349-154755381'}	4	0	4	0	"[""Lhp1"",""LARP"",""MGC19556"",""KIAA0731"",""Lar1""]"	Gene	LARP1	protein_coding	La ribonucleoprotein 1, translational regulator [Source:HGNC Symbol;Acc:HGNC:29531]	5		
ENSG00000161671	{'chr19:50489402-50489473', 'chr19:50482234-50482283', 'chr19:50489499-50489561', 'chr19:50482123-50482157'}		+	{'chr19:50489402-50489473', 'chr19:50482234-50482283', 'chr19:50489499-50489561', 'chr19:50482123-50482157'}	4	0	4	0	"[""C19orf63"",""HSM1"",""INM02"",""HSS1""]"	Gene	EMC10	protein_coding	ER membrane protein complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:27609]	19		
ENSG00000164828	{'chr7:892545-892594', 'chr7:893647-893677', 'chr7:893697-893762', 'chr7:892494-892545'}		+	{'chr7:892545-892594', 'chr7:893647-893677', 'chr7:893697-893762', 'chr7:892494-892545'}	4	0	4	0	"[""FLJ12407"",""KIAA0810"",""UNC84A""]"	Gene	SUN1	protein_coding	Sad1 and UNC84 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18587]	7		
ENSG00000165209	{'chr9:123266774-123266837', 'chr9:123267918-123267933', 'chr9:123266211-123266273', 'chr9:123266402-123266473'}		-	{'chr9:123266774-123266837', 'chr9:123267918-123267933', 'chr9:123266211-123266273', 'chr9:123266402-123266473'}	4	0	4	0	"[""FLJ11307"",""ILF3L"",""SPNR""]"	Gene	STRBP	protein_coding	spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16462]	9		
ENSG00000173757	{'chr17:42199770-42199824', 'chr17:42199725-42199760', 'chr17:42199624-42199715', 'chr17:42275922-42275975'}		-	{'chr17:42199770-42199824', 'chr17:42199725-42199760', 'chr17:42199624-42199715', 'chr17:42275922-42275975'}	4	0	4	0	"[""""]"	Gene	STAT5B	protein_coding	signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]	17		
ENSG00000196498	{'chr12:124466788-124466876', 'chr12:124466714-124466784', 'chr12:124567404-124567490', 'chr12:124466903-124466970'}		-	{'chr12:124466788-124466876', 'chr12:124466714-124466784', 'chr12:124567404-124567490', 'chr12:124466903-124466970'}	4	0	4	0	"[""TRAC-1"",""CTG26"",""TNRC14"",""SMRT"",""SMRTE""]"	Gene	NCOR2	protein_coding	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	12		
ENSG00000231079	{'chr2:148881731-148881767', 'chr2:148881782-148881785', 'chr2:148881767-148881780', 'chr2:148881785-148881830'}		-	{'chr2:148881731-148881767', 'chr2:148881782-148881785', 'chr2:148881767-148881780', 'chr2:148881785-148881830'}	4	0	4	0	"[""""]"	Gene	KIF5C-AS1	lncRNA	KIF5C antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40325]	2		
ENSG00000239857	{'chr7:892545-892594', 'chr7:893647-893677', 'chr7:893697-893762', 'chr7:892494-892545'}		+	{'chr7:892545-892594', 'chr7:893647-893677', 'chr7:893697-893762', 'chr7:892494-892545'}	4	0	4	0	"[""TRC35"",""CGI-20"",""CEE"",""C7orf20"",""H_NH1244M04.5""]"	Gene	GET4	protein_coding	guided entry of tail-anchored proteins factor 4 [Source:HGNC Symbol;Acc:HGNC:21690]	7		
ENSG00000286192	{'chr7:1853531-1853563', 'chr7:1887163-1887205', 'chr7:1888499-1888516', 'chr7:1852321-1852368'}		-	{'chr7:1853531-1853563', 'chr7:1887163-1887205', 'chr7:1888499-1888516', 'chr7:1852321-1852368'}	4	0	4	0	"[""""]"	Gene		protein_coding	Novel protein	7		
ENSG00000289474	{'chr2:148881731-148881767', 'chr2:148881782-148881785', 'chr2:148881767-148881780', 'chr2:148881785-148881830'}		-	{'chr2:148881731-148881767', 'chr2:148881782-148881785', 'chr2:148881767-148881780', 'chr2:148881785-148881830'}	4	0	4	0	"[""""]"	Gene		lncRNA	novel transcript, antisense to KIF5C	2		
ENSG00000290937	{'chr3:198172812-198172886', 'chr3:198173717-198173772', 'chr3:198174459-198174538', 'chr3:198172547-198172594'}		+	{'chr3:198172812-198172886', 'chr3:198173717-198173772', 'chr3:198174459-198174538', 'chr3:198172547-198172594'}	4	0	4	0	"[""""]"	Gene		lncRNA	novel transcript	3		
ENSG00000070047	{'chr11:586419-586518', 'chr11:585479-585538', 'chr11:584475-584568'}		+	{'chr11:586419-586518', 'chr11:585479-585538', 'chr11:584475-584568'}	3	0	3	0	"[""PPP1R125"",""KIAA1542"",""RNF221""]"	Gene	PHRF1	protein_coding	PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]	11		
ENSG00000071994	{'chr6:170584562-170584622', 'chr6:170584438-170584537', 'chr6:170584394-170584438'}		-	{'chr6:170584562-170584622', 'chr6:170584438-170584537', 'chr6:170584394-170584438'}	3	0	3	0	"[""RP8"",""ZMYND7""]"	Gene	PDCD2	protein_coding	programmed cell death 2 [Source:HGNC Symbol;Acc:HGNC:8762]	6		
ENSG00000099800	{'chr19:2425663-2425709', 'chr19:2426086-2426158', 'chr19:2425821-2425883'}		-	{'chr19:2425663-2425709', 'chr19:2426086-2426158', 'chr19:2425821-2425883'}	3	0	3	0	"[""Tim13"",""TIMM13B""]"	Gene	TIMM13	protein_coding	translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]	19		
ENSG00000103495	{'chr16:29810238-29810250', 'chr16:29810791-29810812', 'chr16:29807481-29807545'}		+	{'chr16:29810238-29810250', 'chr16:29810791-29810812', 'chr16:29807481-29807545'}	3	0	3	0	"[""Pur-1"",""ZNF801"",""ZF87"",""Zif87""]"	Gene	MAZ	protein_coding	MYC associated zinc finger protein [Source:HGNC Symbol;Acc:HGNC:6914]	16		
ENSG00000115758	{'chr2:10448128-10448183', 'chr2:10448194-10448246', 'chr2:10448273-10448326'}		-	{'chr2:10448128-10448183', 'chr2:10448194-10448246', 'chr2:10448273-10448326'}	3	0	3	0	"[""ODC""]"	Gene	ODC1	protein_coding	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	2		
ENSG00000130726	{'chr19:58545014-58545058', 'chr19:58544804-58544844', 'chr19:58544889-58544929'}		+	{'chr19:58545014-58545058', 'chr19:58544804-58544844', 'chr19:58544889-58544929'}	3	0	3	0	"[""PPP1R157"",""TIF1beta"",""TIF1B"",""RNF96"",""TF1B"",""KAP-1"",""TIF1-beta"",""KAP1""]"	Gene	TRIM28	protein_coding	tripartite motif containing 28 [Source:HGNC Symbol;Acc:HGNC:16384]	19		
ENSG00000135766	{'chr1:231421444-231421497', 'chr1:231422013-231422065', 'chr1:231421877-231421963'}		-	{'chr1:231421444-231421497', 'chr1:231422013-231422065', 'chr1:231421877-231421963'}	3	0	3	0	"[""PHD2"",""SM-20"",""C1orf12"",""ZMYND6"",""HIFPH2""]"	Gene	EGLN1	protein_coding	egl-9 family hypoxia inducible factor 1 [Source:HGNC Symbol;Acc:HGNC:1232]	1		
ENSG00000141905	{'chr19:3359790-3359839', 'chr19:3360861-3360884', 'chr19:3360573-3360620'}		+	{'chr19:3359790-3359839', 'chr19:3360861-3360884', 'chr19:3360573-3360620'}	3	0	3	0	"[""NFI"",""NF-I"",""CTF"",""CTF5""]"	Gene	NFIC	protein_coding	nuclear factor I C [Source:HGNC Symbol;Acc:HGNC:7786]	19		
ENSG00000145192	{'chr3:186619886-186619931', 'chr3:186613130-186613202', 'chr3:186618571-186618621'}		+	{'chr3:186619886-186619931', 'chr3:186613130-186613202', 'chr3:186618571-186618621'}	3	0	3	0	"[""A2HS"",""FETUA"",""HSGA""]"	Gene	AHSG	protein_coding	alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]	3		
ENSG00000164877	{'chr7:1450619-1450648', 'chr7:1458529-1458561', 'chr7:1457875-1457926'}		-	{'chr7:1450619-1450648', 'chr7:1458529-1458561', 'chr7:1457875-1457926'}	3	0	3	0	"[""MGC46023"",""MICAL-L2"",""FLJ23471"",""JRAB""]"	Gene	MICALL2	protein_coding	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]	7		
ENSG00000168758	{'chr2:96868424-96868479', 'chr2:96869210-96869279', 'chr2:96869721-96869827'}		-	{'chr2:96868424-96868479', 'chr2:96869210-96869279', 'chr2:96869721-96869827'}	3	0	3	0	"[""Semacl1"",""Semaf"",""SEMAI""]"	Gene	SEMA4C	protein_coding	semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]	2		
ENSG00000169710	{'chr17:82097835-82097882', 'chr17:82097663-82097720', 'chr17:82097176-82097241'}		-	{'chr17:82097835-82097882', 'chr17:82097663-82097720', 'chr17:82097176-82097241'}	3	0	3	0	"[""FAS"",""SDR27X1""]"	Gene	FASN	protein_coding	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	17		
ENSG00000172889	{'chr9:136665421-136665458', 'chr9:136665742-136665804', 'chr9:136666234-136666288'}		+	{'chr9:136665421-136665458', 'chr9:136665742-136665804', 'chr9:136666234-136666288'}	3	0	3	0	"[""ZNEU1""]"	Gene	EGFL7	protein_coding	EGF like domain multiple 7 [Source:HGNC Symbol;Acc:HGNC:20594]	9		
ENSG00000176894	{'chr12:132695555-132695655', 'chr12:132691996-132692090', 'chr12:132695310-132695400'}		+	{'chr12:132695555-132695655', 'chr12:132691996-132692090', 'chr12:132695310-132695400'}	3	0	3	0	"[""PMP22"",""MPV17L3""]"	Gene	PXMP2	protein_coding	peroxisomal membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:9716]	12		
ENSG00000197249	{'chr14:94382934-94382976', 'chr14:94383045-94383095', 'chr14:94382817-94382887'}		-	{'chr14:94382934-94382976', 'chr14:94383045-94383095', 'chr14:94382817-94382887'}	3	0	3	0	"[""alpha-1-antitrypsin"",""AAT"",""A1AT"",""PI"",""PI1"",""alpha1AT"",""A1A""]"	Gene	SERPINA1	protein_coding	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	14		
ENSG00000198938	{'chrM:9531-9538', 'chrM:9496-9527', 'chrM:9429-9435'}		+	{'chrM:9531-9538', 'chrM:9496-9527', 'chrM:9429-9435'}	3	0	3	0	"[""COX3"",""CO3"",""MTCO3"",""COIII""]"	Gene	MT-CO3	protein_coding	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	MT		
ENSG00000212907	{'chrM:10681-10686', 'chrM:10658-10681', 'chrM:10686-10693'}		+	{'chrM:10681-10686', 'chrM:10658-10681', 'chrM:10686-10693'}	3	0	3	0	"[""ND4L"",""NAD4L"",""MTND4L""]"	Gene	MT-ND4L	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	MT		
ENSG00000236017	{'chrX:1403650-1403746', 'chrX:1406004-1406056', 'chrX:1407970-1408038'}		+	{'chrX:1403650-1403746', 'chrX:1406004-1406056', 'chrX:1407970-1408038'}	3	0	3	0	"[""NCRNA00105"",""ASMTL-AS"",""FLJ13330"",""CXYorf2"",""ASMTLAS""]"	Gene	ASMTL-AS1	lncRNA	ASMTL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:25811]	X		
ENSG00000256632	{'chr12:132695555-132695655', 'chr12:132691996-132692090', 'chr12:132695310-132695400'}		+	{'chr12:132695555-132695655', 'chr12:132691996-132692090', 'chr12:132695310-132695400'}	3	0	3	0	"[""""]"	Gene		lncRNA	novel transcript	12		
ENSG00000260417	{'chr16:85594101-85594167', 'chr16:85592665-85592708', 'chr16:85593940-85593983'}		+	{'chr16:85594101-85594167', 'chr16:85592665-85592708', 'chr16:85593940-85593983'}	3	0	3	0	"[""""]"	Gene		lncRNA	novel transcript	16		
ENSG00000287856	{'chr1:231421444-231421497', 'chr1:231422013-231422065', 'chr1:231421877-231421963'}		-	{'chr1:231421444-231421497', 'chr1:231422013-231422065', 'chr1:231421877-231421963'}	3	0	3	0	"[""""]"	Gene		protein_coding	novel protein	1		
ENSG00000009335	{'chr7:157139216-157139257', 'chr7:157139079-157139192'}		+	{'chr7:157139216-157139257', 'chr7:157139079-157139192'}	2	0	2	0	"[""KIAA10"",""KIAA0010""]"	Gene	UBE3C	protein_coding	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]	7		
ENSG00000061938	{'chr3:195909480-195909599', 'chr3:195909111-195909159'}		-	{'chr3:195909480-195909599', 'chr3:195909111-195909159'}	2	0	2	0	"[""ACK"",""ACK1"",""p21cdc42Hs""]"	Gene	TNK2	protein_coding	tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297]	3		
ENSG00000069696	{'chr11:640370-640385', 'chr11:637378-637434'}		+	{'chr11:640370-640385', 'chr11:637378-637434'}	2	0	2	0	"[""""]"	Gene	DRD4	protein_coding	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	11		
ENSG00000081051	{'chr4:73452458-73452536', 'chr4:73452568-73452612'}		+	{'chr4:73452458-73452536', 'chr4:73452568-73452612'}	2	0	2	0	"[""HPAFP"",""FETA""]"	Gene	AFP	protein_coding	alpha fetoprotein [Source:HGNC Symbol;Acc:HGNC:317]	4		
ENSG00000084674	{'chr2:21005996-21006042', 'chr2:21019026-21019079'}		-	{'chr2:21005996-21006042', 'chr2:21019026-21019079'}	2	0	2	0	"[""""]"	Gene	APOB	protein_coding	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	2		
ENSG00000088766	{'chr20:6006305-6006383', 'chr20:6006421-6006492'}		+	{'chr20:6006305-6006383', 'chr20:6006421-6006492'}	2	0	2	0	"[""dJ967N21.6"",""C20orf155"",""GCD10"",""CLS1""]"	Gene	CRLS1	protein_coding	cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]	20		
ENSG00000101191	{'chr20:62926049-62926093', 'chr20:62937271-62937380'}		-	{'chr20:62926049-62926093', 'chr20:62937271-62937380'}	2	0	2	0	"[""DIO1"",""DIO-1"",""FLJ11265"",""DATF1"",""C20orf158"",""dJ885L7.8"",""KIAA0333"",""BYE1""]"	Gene	DIDO1	protein_coding	death inducer-obliterator 1 [Source:HGNC Symbol;Acc:HGNC:2680]	20		
ENSG00000105325	{'chr19:3528524-3528566', 'chr19:3530670-3530768'}		+	{'chr19:3528524-3528566', 'chr19:3530670-3530768'}	2	0	2	0	"[""CDH1"",""HCDH1"",""FZR2"",""FZR"",""CDC20C"",""KIAA1242"",""HCDH""]"	Gene	FZR1	protein_coding	fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]	19		
ENSG00000106263	{'chr7:2354936-2354990', 'chr7:2355037-2355257'}		+	{'chr7:2354936-2354990', 'chr7:2355037-2355257'}	2	0	2	0	"[""PRT1"",""EIF3S9""]"	Gene	EIF3B	protein_coding	eukaryotic translation initiation factor 3 subunit B [Source:HGNC Symbol;Acc:HGNC:3280]	7		
ENSG00000107404	{'chr1:1343712-1343751', 'chr1:1349075-1349142'}		-	{'chr1:1343712-1343751', 'chr1:1349075-1349142'}	2	0	2	0	"[""""]"	Gene	DVL1	protein_coding	dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]	1		
ENSG00000108100	{'chr10:35470332-35470404', 'chr10:35469293-35469372'}		+	{'chr10:35470332-35470404', 'chr10:35469293-35469372'}	2	0	2	0	"[""CFP1"",""CBCP1"",""C10orf9""]"	Gene	CCNY	protein_coding	cyclin Y [Source:HGNC Symbol;Acc:HGNC:23354]	10		
ENSG00000115286	{'chr19:1384015-1384081', 'chr19:1390851-1390920'}		+	{'chr19:1384015-1384081', 'chr19:1390851-1390920'}	2	0	2	0	"[""PSST"",""CI-20"",""FLJ46880"",""FLJ45860""]"	Gene	NDUFS7	protein_coding	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	19		
ENSG00000116017	{'chr19:941214-941302', 'chr19:956439-956487'}		+	{'chr19:941214-941302', 'chr19:956439-956487'}	2	0	2	0	"[""BRIGHT"",""DRIL1""]"	Gene	ARID3A	protein_coding	AT-rich interaction domain 3A [Source:HGNC Symbol;Acc:HGNC:3031]	19		
ENSG00000118046	{'chr19:1205998-1206057', 'chr19:1206342-1206405'}		+	{'chr19:1205998-1206057', 'chr19:1206342-1206405'}	2	0	2	0	"[""PJS"",""LKB1""]"	Gene	STK11	protein_coding	serine/threonine kinase 11 [Source:HGNC Symbol;Acc:HGNC:11389]	19		
ENSG00000122591		{'chr7:22962976-22962980', 'chr7:22962980-22963001'}	-	{'chr7:22962976-22962980', 'chr7:22962980-22963001'}	0	2	2	0	"[""HCC"",""FAM126A"",""DRCTNNB1A"",""hyccin""]"	Gene	HYCC1	protein_coding	hyccin PI4KA lipid kinase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24587]	7		
ENSG00000124782	{'chr6:7109535-7109572', 'chr6:7109280-7109321'}		+	{'chr6:7109535-7109572', 'chr6:7109280-7109321'}	2	0	2	0	"[""HNT""]"	Gene	RREB1	protein_coding	ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449]	6		
ENSG00000124942		{'chr11:62525795-62525898', 'chr11:62518446-62518493'}	-	{'chr11:62525795-62525898', 'chr11:62518446-62518493'}	0	2	2	0	"[""MGC5395"",""AHNAK1""]"	Gene	AHNAK	protein_coding	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	11		
ENSG00000125730	{'chr19:6697397-6697450', 'chr19:6714351-6714380'}		-	{'chr19:6697397-6697450', 'chr19:6714351-6714380'}	2	0	2	0	"[""C3b"",""ARMD9"",""CPAMD1"",""C3a""]"	Gene	C3	protein_coding	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	19		
ENSG00000125895	{'chr20:1185024-1185075', 'chr20:1184881-1184951'}		-	{'chr20:1185024-1185075', 'chr20:1184881-1184951'}	2	0	2	0	"[""FLJ11190"",""C20orf46""]"	Gene	TMEM74B	protein_coding	transmembrane protein 74B [Source:HGNC Symbol;Acc:HGNC:15893]	20		
ENSG00000127507	{'chr19:14762475-14762597', 'chr19:14763537-14763625'}		-	{'chr19:14762475-14762597', 'chr19:14763537-14763625'}	2	0	2	0	"[""EMR2"",""CD312""]"	Gene	ADGRE2	protein_coding	adhesion G protein-coupled receptor E2 [Source:HGNC Symbol;Acc:HGNC:3337]	19		
ENSG00000129657	{'chr17:77215555-77215613', 'chr17:77216424-77216497'}		+	{'chr17:77215555-77215613', 'chr17:77216424-77216497'}	2	0	2	0	"[""SEC14L"",""PRELID4A""]"	Gene	SEC14L1	protein_coding	SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698]	17		
ENSG00000130560	{'chr9:135939463-135939541', 'chr9:135939396-135939453'}		-	{'chr9:135939463-135939541', 'chr9:135939396-135939453'}	2	0	2	0	"[""KPC2"",""GBDR1"",""UBADC1""]"	Gene	UBAC1	protein_coding	UBA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30221]	9		
ENSG00000133612	{'chr7:151100239-151100306', 'chr7:151087280-151087375'}		+	{'chr7:151100239-151100306', 'chr7:151087280-151087375'}	2	0	2	0	"[""CENTG3""]"	Gene	AGAP3	protein_coding	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:16923]	7		
ENSG00000135744	{'chr1:230704309-230704334', 'chr1:230705932-230705953'}		-	{'chr1:230704309-230704334', 'chr1:230705932-230705953'}	2	0	2	0	"[""SERPINA8""]"	Gene	AGT	protein_coding	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	1		
ENSG00000135776	{'chr1:229558283-229558385', 'chr1:229558500-229558568'}		-	{'chr1:229558283-229558385', 'chr1:229558500-229558568'}	2	0	2	0	"[""EST20237"",""MTABC2"",""M-ABC2""]"	Gene	ABCB10	protein_coding	ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41]	1		
ENSG00000141524	{'chr17:78127985-78128022', 'chr17:78126861-78126910'}		-	{'chr17:78127985-78128022', 'chr17:78126861-78126910'}	2	0	2	0	"[""TNRC6C-AS1"",""LAK-4P"",""EVIN1"",""EVER1""]"	Gene	TMC6	protein_coding	transmembrane channel like 6 [Source:HGNC Symbol;Acc:HGNC:18021]	17		
ENSG00000141959	{'chr21:44314616-44314670', 'chr21:44314152-44314211'}		+	{'chr21:44314616-44314670', 'chr21:44314152-44314211'}	2	0	2	0	"[""""]"	Gene	PFKL	protein_coding	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	21		
ENSG00000145495	{'chr5:10354042-10354115', 'chr5:10354115-10354216'}		+	{'chr5:10354042-10354115', 'chr5:10354115-10354216'}	2	0	2	0	"[""MARCH6"",""MARCH-VI"",""RNF176"",""TEB4""]"	Gene	MARCHF6	protein_coding	membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550]	5		
ENSG00000149639	{'chr20:36857936-36857949', 'chr20:36857765-36857804'}		-	{'chr20:36857936-36857949', 'chr20:36857765-36857804'}	2	0	2	0	"[""KIAA0889"",""SOGA"",""C20orf117"",""dJ132F21.1"",""FLJ44670""]"	Gene	SOGA1	protein_coding	suppressor of glucose, autophagy associated 1 [Source:HGNC Symbol;Acc:HGNC:16111]	20		
ENSG00000157542	{'chr21:38058474-38058558', 'chr21:38057264-38057333'}		-	{'chr21:38058474-38058558', 'chr21:38057264-38057333'}	2	0	2	0	"[""KATP2"",""Kir3.2"",""GIRK2"",""KCNJ7"",""hiGIRK2"",""BIR1""]"	Gene	KCNJ6	protein_coding	potassium inwardly rectifying channel subfamily J member 6 [Source:HGNC Symbol;Acc:HGNC:6267]	21		
ENSG00000161179	{'chr22:21629049-21629139', 'chr22:21628707-21628743'}		-	{'chr22:21629049-21629139', 'chr22:21628707-21628743'}	2	0	2	0	"[""""]"	Gene	YDJC	protein_coding	YdjC chitooligosaccharide deacetylase homolog [Source:HGNC Symbol;Acc:HGNC:27158]	22		
ENSG00000161960	{'chr17:7573822-7573893', 'chr17:7573005-7573060'}		+	{'chr17:7573822-7573893', 'chr17:7573005-7573060'}	2	0	2	0	"[""EIF4A"",""EIF-4A"",""DDX2A""]"	Gene	EIF4A1	protein_coding	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	17		
ENSG00000162585	{'chr1:2194057-2194131', 'chr1:2194676-2194780'}		-	{'chr1:2194057-2194131', 'chr1:2194676-2194780'}	2	0	2	0	"[""C1orf86"",""FLJ31031""]"	Gene	FAAP20	protein_coding	FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]	1		
